Heading,Publisher,Date,Body
Samaritan derails Ulfa plans - Police team finds bomb on track after anonymous tip-off, By Staff Reporter in Guwahati  ,  10/08/2005 ,"Guwahati, Aug. 10: An anonymous caller today helped police to foil the Ulfa bid to derail Guwahati-Lumding passenger train in the Bonda area of the city.A major disaster was averted today when a person early this morning informed Pragjyotishpur police station after he spotted two youths digging a portion of the railway track at Bonda within the limit of Narengi railway station on the city?s outskirts.Soon after receiving the information, police swung into action and a team from the police station rushed to the spot. ?While searching the area, we recovered a powerful improvised explosive device (IED) buried on the railway track,? a police source said.For some time the situation at Narengi railway station had become tense as the 801 Guwahati-Lumding passenger train had departed from Guwahati railway station at 7 am and was on its way to Narengi when the bomb was detected at 7.15 am.?We immediately informed the railway authorities and somehow managed to halt the train about a kilometre away from the place where the bomb was planted,? the police official said. The IED was finally defused by the bomb disposal squad of Assam police at around 9 am and the rail traffic was restored.?From the timing, we suspect that the bomb was planted by the Ulfa rebels to target the passenger train. A search operation has been launched to nab the culprits involved in this incident,? the official added. So far, no arrests have been made in this connection. Security has been beefed up at the railway installations in the city fearing more such attempts by the banned outfit ahead of the Independence Day. Chief public relation officer of Northeast Frontier Railway, T. Rabha said security arrangements have already been tightened. Rabha said patrolling along the railway tracks has been intensified by the Government Railway Police and CRPF personnel.?We have also directed railway gangmen and trackmen to keep an eye on the tracks apart from the irregular track maintenance duty,? he added.Rabha said that recent detection of bombs planted on the railway tracks in different parts of the state was the result of heightened security."
Samaritan derails Ulfa plans - Police team finds bomb on tracks after anonymous tip-off, By Staff Reporter ,  10/08/2005 ,"Aug. 10: An anonymous caller today helped the police to foil the Ulfa bid to derail Guwahati-Lumding passenger train in the Bonda area of the city.A major disaster was averted today when a person early this morning informed Pragjyotishpur police station after he spotted two youths digging a portion of the railway track at Bonda within the limit of Narengi railway station on the city’s outskirts.Soon after receiving the information, police swung into action and a team from the police station rushed to the spot. “While searching the area, we recovered a powerful improvised explosive device (IED) buried on the railway track,” a police source said.For some time the situation at Narengi railway station had become tense as the 801 Guwahati-Lumding passenger train had departed from Guwahati railway station at 7 am and was on its way to Narengi when the bomb was detected at 7.15 am.“We immediately informed the railway authorities and somehow managed to halt the train about a kilometer away from the place where the bomb was planted,” the police official said. The IED was finally defused by the bomb disposal squad of Assam police at around 9 am and the rail traffic was restored.“From the timing, we suspect that the bomb was planted by the Ulfa rebels to target the passenger train. A search operation has been launched to nab the culprits involved in this incident,” the official added. So far, no arrests have been made in this connection. Security has been beefed up at the railway installations in the city fearing more such attempts by the banned outfit ahead of the Independence Day. Chief public relation officer of Northeast Frontier Railway, T. Rabha said security arrangements have already been tightened. Rabha said patrolling along the railway tracks has been intensified by the Government Railway Police and CRPF personnel.“We have also directed railway gangmen and trackmen to keep an eye on the tracks apart from the irregular track maintenance duty,” he added.Rabha said that recent detection of bombs planted on the railway tracks in different parts of the state was the result of heightened security."
FREE FLOW TO BATTLE THE BOTTLE BETTER , By BY SUNANDO SARKAR in Calcutta  ,  11/12/2001 ,
Drinking problem? Help is at hand, By Staff Reporter ,  1/04/2013 ,"March 31: If you have a craving for alcohol then you might be heading up a slippery slope. Often, just a bad habit turns into alcoholism, which is actually a disease that slowly consumes your life.Alcoholics Anonymous, an international fellowship of recovering alcoholics, is holding a training programme on Alcoholism and Domestic Workers at the Centre for Development Initiatives in the city from April 1 to 5. Here, they will share their personal experiences of batting the bottle and emerging victorious. They will also hold a public awareness meeting at a church in Ulubari. During the training programme, around 25 Christian missionaries will also be trained on ways to help alcoholics. “We will conduct a five-day training programme where we will highlight how alcoholism can destroy a person’s life. And since nuns have always been involved in social service, about 25 of them will be trained on how to help alcoholics. One has to realise that alcoholism is a disease and an alcoholic needs help to give up his addiction,” said Dhanjit D, a member of Alcoholics Anonymous. “We will also hold a public awareness meeting on the premises of a church in Ulubari where we will interact with the public and tell them our experiences of how we battled alcoholism. The main problem in the city is that many alcoholics do not seek help for de-addiction, fearing that their identities will be revealed. Many also do not know where to go for help,” Dhanjit said.Alcoholic Anonymous members claim addicts always find an excuse to drink. Many get admitted to hospitals to try and quit but soon return to their old ways. While medical treatment helps to manage physical allergies, it is one’s own determination that is actually required to fight the mental obsession for alcohol. “We have also chosen the topic of domestic workers as we have witnessed that domestic workers in general come from poor families that have been affected by alcoholism. There are many domestics in the city who have to sustain their families by doing household chores in other people’s homes as their husbands squander away their earnings on alcohol. Many of these women are also victims of domestic violence,” Dhanjit added."
CHECKLIST, By The Telegraph Online ,  9/05/2005 ," Stem cells can usher in cancerTwo new studies reported by the New Scientist dampens enthusiasm over the potential of stem cells as cure-alls. They show that even stem cells taken from adults can turn cancerous if they are allowed to multiply for too long outside the body. Researchers have long known that there is a cancer risk with stem cells extracted from very early embryos. Until they change into more specialised tissue, they can form aggressive cancers called teratomas when injected into animals. Until now it has been widely assumed that adult stem cells, such as those taken from bone marrow, do not form cancers. But the latest studies by researchers in Spain and Denmark suggest that adult stem cells are safe only if the number of times they are allowed to divide outside the body is limited. Spinach bad for seniors Folate, or folic acid, a common ingredient in multivitamins, may be linked to faster mental deterioration in older people, even at the recommended doses. Researchers at the Rush University Medical Center in Chicago found that older people who took folic acid supplements at or above the recommended daily allowance of 400 micrograms had a faster rate of mental decline than others their age. The effect was also evident in people whose diets were high in folate. Vegetables like spinach and broccoli and fruits like oranges are high in folates. While folate did not appear helpful, vitamin B12 in higher doses was linked with a slower decline in mental functioning. Monthly jab for alcoholicsJust once-a-month injection of the drug naltrexone can help treat alcohol dependance, claims a study in reported in the Journal Of American Medical Association. The use of the drug to treat alcoholism is not unknown, but adherence to a daily dose has been problematic. Alcohol dependence is a major public health problem around the world which contributes to more than 100,000 preventable deaths. The once-a-month injection of the medication tested at the University of North Carolina at Chapel Hill found that the long-acting version of the drug is as effective ? if not more ? as the daily dose. In addition, it takes care of the discontinuation of the drug which is considered more harmful for heavy drinkers.  Thrill-seekers put off women Reckless behaviours like bungee-jumping, river-rafting or skateboarding are usually associated with machismo. But such risky stunts hardly impress women looking for mates, says a report in the Evolution and Human Behaviour. From an evolutionary perspective it seems pointless to women who perceive risk-takers as irresponsible husbands."
Help for alcohol addicts in Shillong, By Our Correspondent in Shilong  ,  22/02/2016 ,"There is a candle in every soul/Some brightly burning some dark and cold/There is a spirit who brings the fire/Ignites a candle and makes his home/Carry your candle run to the darkness/Seek out the hopeless confused and torn/Hold out your candle for all to see it/Take your candle and go light your worldShillong, Feb. 21: The lyrics from the song echoed at the Don Bosco Youth Centre last evening as women, men, spiritual leaders and medical practitioners gathered to share their ideas on how to ""seek out the hopeless confused and torn"" and to bring ""light"" to their gloomy world.It was an evening which led to the formation of the Shillong Women's Fellowship under the Alcoholics Anonymous programme - a first of its kind in the Northeast.The public information programme on ""Women for Sobriety. A Challenge in Northeast India"" witnessed sharing of ideas and testimonies to encourage women - who are battling alcoholism - to seek support.""As an alcoholic, I felt that I was on the verge of dying. But I lived because of divine intervention,"" a woman told the gathering.The Delhi-based woman narrated her story from feeling abandoned to step-motherly treatment and from denial to how she gained sobriety through ""higher power"".She was accompanied by a few other women from Delhi and Mizoram.""I knew a darkness in my being; I felt death. But the higher power kept me alive to spread the message. I have decided to put my best foot forward to help others,"" the woman said.Stating that the programmes under Alcoholics Anonymous had come to her rescue, she said the programmes were ""very successful"".Father Joseph H. Pereira, founder of Kripa Foundation - which is devoted to care, support and rehabilitation of those affected by chemical dependency and HIV/AIDS - advocated for a ""holistic""? model to help those who are afflicted with alcoholism.Chemical dependency is often used as a term interchangeably with substance abuse.""There is a denial syndrome about the disease (alcoholism). For a woman alcoholic, it is even more difficult,"" Fr Pereira said.He added that 1,600 men have come to seek help from the Kripa centre in Shillong in the past 21 years since the centre was established. During the same period there were only around 20 women who had approached the centre for help, he said.""There are so many people who are afflicted with the disease. Many had died, but the shame syndrome continues. Do not be afraid or ashamed,"" Fr Pereira said.Stating that there was no ""chemical solution for chemical dependency"", he said the ""medical model"" has ""totally failed"".He, therefore, asserted the need for a ""holistic method"" like the Alcoholics Anonymous (AA) method, which is based on a 12-step programme.""There is nothing more powerful than the AA method,"" he said, adding that if one has gained sobriety, one cannot keep it to himself/herself, but will instead share the experience with others.The chairman of the general service board of Alcoholics Anonymous India, Harsh Udavat, pointed out that heavy alcohol consumption is more risky for women than for men.""Alcoholism is a progressive disease and there is no cure for it,"" Udavat who is also a gastroenterologist based in Jaipur, said.In its report released last year, the Organisation for Economic Cooperation and Development pointed out that during 1992-2012, per capita consumption of alcohol in India has increased by 55 per cent which is the third-highest increase in the world.Moreover, the World Health Organisation has stated that while 30 per cent of Indians consume alcohol, around 4-13 per cent of them are daily consumers and up to 50 per cent of these fall under the category of hazardous drinking.Convener of yesterday's programme Sister Rose Paite who is also a trustee member of the general service board of Alcoholics Anonymous India, said it is still a challenge to help women who are into alcoholism.""Parents would like to spend much on sons, but when it comes to daughters, they say they do not have money,"" she said.While stating that women do not have access to treatment facilities, Sister Paite pointed out that the problem was ""severe"".She said it was time for women in the region to join Alcoholics Anonymous programmes.Under the Shillong Women's Fellowship, it was decided that recovery meetings would be held on Tuesdays and Thursdays at the Don Bosco Youth Centre from 4pm to 5.30pm.While there are no fees for AA membership, only an honest desire to rid the addiction is required."
Guideline flout cloud on HRD ministry, By Basant Kumar Mohanty ,  30/05/2015 ,"New Delhi, May 29: The human resource development ministry appears to have breached a Central Vigilance Commission guideline in forwarding an anonymous complaint to IIT Madras, which has led to a student group being controversially derecognised for criticising the Narendra Modi government.The IIT today cited its own rules, apparently set by student representatives themselves, to defend this week's action against the Ambedkar-Periyar Study Circle, most of whose 40-odd members are Dalits, amid charges of ""stifling free speech"" and caste discrimination. The ministry too issued a statement denying any role in the institute's action, stressing it had only forwarded the complaint and sought ""comments"".But the forwarded complaint had a hand-written line by an unnamed official saying: ""Unfortunate. IITs were never used for such purposes. Pl get comments.""The decision to forward an anonymous complaint after adding a judgmental noting suggests the meddling mindset that has marked the ministry over the years is immune to regime changes.An official wondered whether the IIT would have acted at all without the prod that became a thinly veiled nudge to crack down once the word ""unfortunate"" was added.Several government officials said the ministry's move of forwarding the complaint itself flouted a Central Vigilance Commission circular, issued on November 25 last year.""No action should be taken on anonymous/pseudonymous complaints,"" the circular, of which this newspaper has a copy, tells ministries and government departments. The officials confirmed that anonymous complaints were as a rule not given any attention.The commission had issued the same direction in 1999 before modifying it in 2002, saying such complaints might be looked into if they contained verifiable facts. Last November's order withdrew the 2002 amendment.The study circle had last month distributed a pamphlet castigating the Centre's ""Hindutva agenda"" with references to the cow slaughter ban and ghar wapsi programmes, and accusing it of helping multinationals ""loot Mother India"".This prompted an anonymous letter to the ministry by ""students, IIT Madras"", which accused the study circle of spreading ""hatred"" against Modi and Hindus and trying to ""polarise the ST, SC students"".On May 15, ministry undersecretary Prisca Mathew forwarded the complaint to the IIT Madras director, seeking ""comments"" by an early date. The letter referred to ""distribution of controversial posters and pamphlets in the campus... and creating hatred atmosphere among the students"".A ministry release said: ""Ministry of HRD has nothing to do with this except for forwarding the complaint... for comments. IIT Madras has taken action as per their own procedure and institute's guidelines.""Speaking to this newspaper in Assam's Silchar, HRD minister Smriti Irani stressed that IIT Madras was ""an autonomous body"" and had taken its own decision.""I know the people in the Congress are interested in finding flaws in the HRD (ministry), but I hope they understand that autonomous institutions have the right to administer their institutes according to their own laws,"" she said.Although the complaint and the ministry letter focused on the anti-Modi and allegedly anti-Hindu content of the pamphlet, IIT Madras highlighted only procedural violations by the student group.The IIT said the study circle had flouted guidelines for student groups ""desiring to use the institute's resources"".""The guidelines prescribe that student bodies are not allowed to use the institute's name or (that of) any of its official entities... to publicise their activities or garner support without official approval (from the dean),"" an IIT release said.It said the study circle would be able to present its defence on August 1 before the IIT's student representatives, who'll take the final decision.Irani's ministry has a reputation for meddling in the affairs of autonomous institutions.In October, it had asked all the IITs to look into a lone citizen's petition seeking separate dining halls for vegetarian and non-vegetarian students at their hostels. The ministry's alleged high-handedness is said to have forced the resignations of an IIT chairperson and an IIT director.Last year, the ministry had got the higher education regulator to arm-twist Delhi University into scrapping its four-year undergraduate programme. It's now pushing all the central universities to introduce a new credits system without taking the teachers on board.As for the Central Vigilance Commission circular on anonymous complaints, an official clarified that it was not necessarily a deterrent to whistleblowers.He said that while whistleblowers needed to reveal their identities before the authority they were complaining to, they could do so on a separate sheet with a request not to be identified.Additional reporting by G.C. Shekhar"
Mislead finger at Shopian cop - Constable accused of writing anonymous letter hinting at family's involvement, By OUR SPECIAL CORRESPONDENT ,  16/12/2009 ,"Srinagar, Dec. 15: As if the chargesheet wasn’t explosive enough, a letter bomb has burst into the open.A Kashmir police constable has been accused of trying to “mislead” the probe into the alleged Shopian rape and murder case by hinting in an anonymous letter at the involvement of the family of the two victims.CBI sources said investigations found the constable wrote the letter asking police to probe the role of the family of Neelofar, 22, and her sister-in-law Asiya, 17, for the alleged May 29 murders that had triggered violent protests by residents who blamed security forces. The revelation came along with the report the CBI submitted to the high court yesterday which claimed Neelofar and Asiya were not murdered but had drowned in a stream in their town Shopian, 50km from Srinagar.The 66-page chargesheet-cum-report indicted 13 persons — among them doctors, lawyers and civilians — for fabricating evidence to prove that the two women were raped before being killed. Five police officers, including then Shopian police chief Javed Iqbal, who were earlier arrested for “destroying evidence”, were exonerated. The report sent ripples of anger across the Valley, with residents alleging a “clear cover-up”.A CBI officer said the letter was written by constable Mohd Yaseen Ganie to “divert” the probe.“The constable has been prosecuted under sections 203 and 211 of the Rambir Penal Code (the state’s equivalent of the Indian Penal Code), which are non-cognisable (less serious),” the officer added.The officer said the letter was supposedly written by a classmate of Asiya claiming that he was in love with her and that her family eliminated the girl as they disapproved of the relationship.The writer, who asked the police to investigate the family’s role in the alleged murders, claimed that he met Asiya and Neelofar on May 29 at a nearby orchard.“We were spotted by Shakeel (Asiya’s brother), prompting the two women to run away from the area,” the letter said.Sources said the local police station received the letter after the 47-day protests, which erupted in the town after the bodies of Asiya and Neelofar were fished out of the stream, had ended.“Now that it has been established that they were not murdered, how can the family be involved in it,” the CBI officer said.The CBI complaint said the letter was meant to “mislead/divert” the investigation“The handwriting expert of the Forensic Science Laboratory Srinagar has attributed the authorship of this letter to Constable Mohd Yaseen Ganie No. 538/SPN, who had written the said letter to mislead/divert the investigation from its logical conclusion,” the CBI said."
Dial 'D' in distress, By ONTHESPOT - COUNSELLING CENTRES ,  7/04/2009 ,"Naseeruddin Shah is a familiar face for most Metro commuters. His unmistakable drawl reaches out to people living on the edge, exhorting them to seek help and guidance. The veteran actor endorses Lifeline Foundation, where people find acceptance irrespective of their religion, caste, creed or social status. Apart from Lifeline, there are two other centres in south Calcutta offering succour to cope with the stress of modern day living. While Lifeline helps out those mentally distressed, Society for Nature, Education and Health (SNEH) reaches out to students and Alcoholics Anonymous to those with a drinking problem. Lifeline Foundation began 12 years back as a Calcutta centre for Befrienders Worldwide in England. It is one among the 14 centres that operated from various cities in India. Befrienders Worldwide has been helping those who are distressed and need someone to talk to and Lifeline Foundation is its Indian counterpart. Members of the foundation lend a sympathetic ear to those who call. They do not offer advice or take any decision on behalf of the callers. “All we try to do is to talk to them and let them unburden their problems. That helps clear their minds and think better,” said Jayshree Shome, a senior member of Lifeline Foundation. Beside, the members maintain strict confidentiality of all callers. “We do not ask for telephone numbers or addresses,” said Shome. The callers come from all walks of life. They are homemakers, working women and men and even criminals who confess to ease their conscience. But it is sometimes difficult to find volunteers for the centre. Those who work here need not always put in the entire day. “We have people who come in the afternoon and put in some hours to take calls,” said Shome. Though the main centre is at Mudiali, there are other counters of Lifeline Foundation at Lalbazar and Alipore Bodyguard Lines. “We want to make this a 24x7 helpline. However, we need more volunteers for that,” said Suksham Singh, the director of Lifeline Foundation. In 1996, SNEH started after the previous year saw the highest number of student suicides in the city. SNEH started counselling students in schools. “At the time, there were no counselling centres in Calcutta,” said Suvarna Ghosh, a senior member of SNEH. “We first approached schools and were turned away. However, we kept working at it and also got a license from the education department of the central government,” she added. They started with group counselling programmes at schools. “Children were too shy to talk at first. We needed to interact with them to understand their problems and that is where group counselling helped,” she said. They are presently working in about 24 schools in Calcutta and 12 schools in Barasat and Madhyamgram. The students’ problems are mostly rooted at home. Quarrelling parents, performance pressure, broken homes often drive them to depression. “Parents are often found quarrelling with each other even on their way to their children’s counselling centre,” said Ghosh. Fear of exams is also a common phobia. “We find most children are nervous before exams. We try to help by making a study plan and asking them to follow that,” said Ghosh. Alcoholics Anonymous is the oldest of the three, operating since 1983 in the city. It is a society for alcoholics who want to get rid of their addiction. Most of them have disturbed lives, broken homes, are unemployed and sick in the mind and body. A doctor and a sharebroker joined hands to start Alcoholics Anonymous in the US way back in 1935. Both were alcoholics who wanted to get rid of their addiction. They talked to each other and found that they could slowly let go. Now their effort has found place all over the world. The members here are not trained counsellors but people who share their experiences with those looking for help. “We have 12 steps and 12 traditions that we share with them,” said Debashish of Alcoholics Anonymous. Open meetings are held at different parts of the city where people with the same problem gather to talk. “We also meet members of the family so they understand how to handle these people at home,” said Debashish. Dalia Mukherjee"
"Focus now shifts to aconite poisoning- Anonymous man with South Asian accent tips off police, says report", By THE SUNDAY TELEGRAPH & AGENCIES in London  ,  2/04/2007 ,"Kingston/London: Police investigating Bob Woolmer’s death have received a tip-off that the coach was poisoned by ‘aconite’, believed to be the “perfect” drug to mask a murder.According to a British newspaper, an anonymous man, thought to be from Pakistan, phoned police claiming that aconite killed the coach, following which Jamaica’s deputy commissioner of police Mark Shields, who is leading the probe, has ordered new tests on Woolmer’s body to look for traces of the drug.Aconite causes the victim’s internal organs to seize and slows down their breathing until they finally stop. Death is usually by asphyxiation within 30 minutes and this may explain how the 16-stone Woolmer died without putting up a fight.“The aconite tip is a major breakthrough and is being taken extremely seriously. The man who called Kingston police station had a South Asian accent and was very specific about aconite and how it was administered,” Shields was quoted as saying by the daily.“The symptoms Bob suffered before he died are identical to aconite poisoning, which is why it is a major line of inquiry now. It would also explain how such a physically imposing man, 6ft 1in tall, died without putting up a fight. You’d struggle to get two people into his bathroom let alone three, so it could be no-one was there,” he added.Toxicologists say aconite is the “perfect” drug to mask a murder. It also explains why Jamaican pathologist Dr Ere Sheshaiah found no marks around his neck to suggest he had been strangled.Toxicologist Prof John Henry of St Mary’s Hospital, Paddington, said that “Woolmer would have felt nauseous after the drug began to work and would have gone to the bathroom to be sick. He wouldn’t have realised straight away how serious his condition was, so it was doubtful he’d have phoned the reception.“By the time he realised how ill he was it would be too late... The drug causes a loss of power in the limbs. Aconite works like cyanide... It also causes vomiting and diarrhoea... All the while the victim’s mind remains clear, so it is a cruel death.“It is the perfect drug to make a murder appear to be a suicide because it leaves no mark on the body. It is difficult to detect in a post-mortem unless it was specifically looked for,” he said.Meanwhile, a Sunday Telegraph report adds that a blood-stained pillow found in Bob Woolmer’s room in the Jamaica Pegasus hotel, is the latest in a series of murder evidences. The pillow was soaked with blood at both ends, according to a Jamaican newspaper.Shields has refused to say what items were recovered from Woolmer’s room, saying certain details about the crime scene needed to be kept back to assist investigators.A Kingston pathologist concluded that the 58-year-old was strangled, but the lack of marks to his neck has led to theories that his killer, or killers, used a towel or item of clothing in the murder. Another British newspaper, meanwhile, said Woolmer feared harm by bookmakers since the 2000 match-fixing scandal broke. When a reporter asked him to move to a quieter place like his room for a chat, Woolmer reportedly said: “I feel more comfortable in public places.”Asked if he was worried about his safety, his replied “You don’t know how those people (bookmakers) will react” and added someone might be upset at the news (about match-fixing) and take it out on him.The paper also said Woolmer in his last interview had claimed to have rejected a £125,000-bribe to fix an international match in Mumbai in 1996 when he was South Africa’s coach. "
Watch lifestyle & diet to keep liver healthy, By Subhajoy Roy in Sonarpur  ,  7/02/2018 ,"Sonarpur: Fatty liver diseases have been on the rise among non-alcoholics because of lifestyle and food habits and doctors warn ignoring early signs could lead to diseases that can kill.Doctors said there is no medicine yet to treat non-alcoholic fatty liver diseases (NAFLD) and the only way out is non-medicinal intervention such as lifestyle and dietary changes. Consuming non-junk and less sugary food and regular exercise, are some of the ways to arrest the condition.If the condition keeps worsening, fatty liver may even lead to cirrhosis and liver transplant may be needed to cure a patient. ""About 20 per cent of the global population has fatty liver, 60 per cent of them non-alcoholics,"" said Abhijit Chowdhury, the secretary of the West Bengal Liver Foundation and the man behind the Indian Institute of Liver and Digestive Sciences in Sonarpur.A doctor attending a symposium on non-alcoholic fatty liver diseases at the Sonarpur hospital said 10 years ago most of his patients with fatty liver were people who consumed alcohol. But now an increasing number of people who do not drink regularly are being diagnosed with the condition.""NAFLD is a benign stage of fatty liver but if ignored and allowed to worsen, it may lead to NASH. Further deterioration can cause cirrhosis when liver transplant may become necessary,"" said Andrew Peterson, the principal scientist of Genentech, a pharmaceutical company in the US.Chowdhury warned that India could become the global capital of NASH in future. ""Indians are genetically predisposed to fatty liver. Lifestyle and food habits add to this.""Non-alcoholic steatohepatitis (NASH) is reversible and timely intervention is essential, a doctor said."
Rinpas help to limit your pegs - Psychodrama therapy for alcoholics, By CHHANDOSREE ,  18/06/2013 ,"Remember Devdas? Anyone who is an alcoholic or a substance addict can’t be high on life, goes the basic premise. Ranchi Institute of Neuro-Psychiatry & Allied Sciences (Rinpas), Ranchi, has embarked on an innovative research on what makes them low. The premier institute treating individuals with psychological problems recently experimented with psychodrama therapy. Common in the west, it is an emerging field for psychiatrists in India.“Psychodrama therapy is a kind of role-playing in a group to help out patients,” Rinpas director Amool Ranjan told The Telegraph. “It’s effective to treat anxiety, depression and substance abuse, including alcohol addiction.” How does it work? Describing the technique, Rinpas expert Narendranath Samantaray said: “At first, we study the patient’s life-history. Then, a group of psychodrama experts enacts scenes from the person’s life before him, while he plays his own character. The process gets him to explore and express feelings he has buried or haven’t understood. Psychodrama gets to the root of his psychological problems due to loss or grief, resulting in depression, stress and alcoholism.”Samantaray added psychodrama was conducted on five persons — male, aged between 20 and 35 years, educated — who wanted a cure for alcoholism. “Each session usually lasts for two-three hours. Psychodramatists are trained specialists who know which part of the person’s life should be enacted. So, before a session, a warm-up with the group makes him feel good, relaxed and connect with experts who are playing characters from his life,” he added.A person may need 15 to 16 psychodrama sessions to free themselves from the clutches of addiction. How so? “There’s greater self-awareness to help a person deal with life without the bottle. While conducting research, psychodrama was found effective in dealing with managing conflicts related to family, interpersonal relationships, sex and concept of self. It was observed that all five patients made valiant efforts to combat their respective conflicts on their own,” Samantaray said.In the sessions, hidden truths, often traumatic, come out. For instance, one person accepted the fact that he felt guilty when his parents went bride-hunting for him, not knowing about his illicit relationship with his cousin, which spurred him to drink. Director Ranjan added Rinpas followed up on the five persons regularly to check the efficacy of psychodrama.“We keep in touch with the five. I am happy to report four out of five persons are absolutely free from addiction in the past two months. However, one has reported relapse,” Ranjan added.Will you recommend the psychodrama therapy?Tell ttkhand@abpmail.com"
BSF move to help alcoholic jawans, By OUR CORRESPONDENT ,  3/10/2013 ,"Guwahati, Oct. 2: The BSF has tied up with Alcoholics Anonymous, an NGO, to help its alcoholic personnel tide over bottle blues.As part of its effort, the Guwahati frontier of the BSF began a weeklong de-addiction programme for personnel at its Patgaon headquarters here today. “Alcohol addiction is a problem faced by many and BSF personnel are not an exception. About 1 per cent of our personnel on duty are reported to be engaged in heavy drinking, which is defined by five or more drinks daily on a regular basis,” S.K. Srivastava inspector-general of BSF’s Guwahati frontier, said.“Occasional drinking is also prevalent among around 35 per cent of the troops,” he said, while inaugurating the programme.Altogether 28 BSF personnel, who are suffering from alcohol addiction, participated in the programme conducted by counsellors from Alcoholics Anonymous.Srivastava blamed work-related stress, separation from family owing to posting in remote areas, as a measure to ward off the chill in high altitude areas like Jammu and Kashmir, availability of liquor at a highly subsidised price, are some of the reasons for alcoholism among the force.“Alcoholism often causes domestic violence, indiscipline in work, drunken brawls, financial drain, among others. We have seen how families are devastated owing to the problem,” Srivastava said. He said the BSF is planning to recruit its own counsellors, who will be trained by the NGO.According to him, alcohol addiction among security personnel causes indiscipline and also leads to incidents such as fragging. Srivastava said alcohol de-addiction would be a continuous process and not a one-off event.“We will take outmost care to preserve confidentiality for those seeking help in order to reduce the stigma attached to getting help and thus drawing more personnel suffering from alcoholism into this programme,” he said.Srivastava said alcohol addiction is a problem, which is not only confined to the security forces. “It has now become a social menace. Even in case of the Delhi gang rape incident, all the accused were under influence of alcohol,” he said.“In the BSF, we have stringent rules to deal with intoxication or alcoholism. A BSF jawan found to be intoxicated on duty may have to undergo rigorous imprisonment up to six months under Section 24 of BSF Act and Rules,” he added.He said the Guwahati frontier recently launched a helpline for its personnel to speak about their work-related problems and grievances.A now reformed BSF officer, who is second-in-command of a battalion posted in Dhubri sector, shared his experiences as an alcoholic and how he managed to quit drinking. Sister Rose from Alcoholics Anonymous said their basic aim was to help the persons suffering from alcoholism to lead a life of sobriety. “We are ready to help any alcoholic who has the slightest desire to kick the habit and lead a happy life,” she said."
"Bomb, letter threat to legislator", By R.N. Sinha in Bettiah ,  11/10/2015 ,"A powerful time bomb and an anonymous letter were recovered from the election office of outgoing Narkatiaganj BJP MLA Rashmi Verma near Mukhiyaji Chowk on Saturday morning.A similar anonymous threat letter was recovered from Verma's residential premises around two weeks ago.The BJP has denied ticket to the sitting MLA. The earlier letter on September 28 had warned Verma of dire consequences if she dared to file nomination papers even as an Independent candidate. She has lodged an FIR in this regard with the local police station.When asked, West Champaran superintendent of police Vinay Kumar said: ""We are keeping a hawk eye over the developments.""Verma has resolved to contest as an Independent candidate and is now busy campaigning across her Assembly constituency."
"Ghost caller resurfaces, threatens rural SP - Men in uniform fail to track anonymous person targetting police stations", By JOY SENGUPTA ,  15/09/2011 ,"Patna, Sept. 14: The mystery person, who called up Patna city superintendent of police (SP) (central) Shivdeep Lande and Patna district magistrate (DM) Sanjay Kumar Singh threatening them with dire consequences, has changed gears. With Lande returning to duty today after a 10-day leave, the man called up Patna rural superintendent of police Vivek Kumar, the acting city SP during Lande’s absence. The call came on Lande’s official mobile number on September 3, a day after the officer left for his leave. Today, the caller rang up on the landline number of Gandhi Maidan police station, which falls under Lande’s jurisdiction. The threat was the same again though this time, the calls originated from a different mobile number. Amid all the drama, the city police, who claim to crack tough cases, have not been able to make any breakthrough regarding the caller’s identity even after a fortnight. The police remain clueless about the anonymous caller who threatened the Patna DM on August 30. On August 27, claiming to be a Maoist area commander in Jamui, the caller had threatened to kill Lande on his official mobile number for showing excessive interest in the Kundan Singh case. Kundan, a dreaded criminal, now lodged in jail, is the primary accused in the murder of transporter Ravikant Choudhary on July 27. “Earlier, the calls were coming from mobile number 7654738472. There were more calls after the first one and with the caller switching off his phone every time after few seconds. It was difficult to nab him. The person had got the SIM after providing documents belonging to somebody else with a clean background. Before going on leave, I had given the official mobile number to the rural SP and he got a call on September 3 from another mobile number (8804950479),” Lande told The Telegraph. The police again checked the phone records and it was found that the caller had got the number after providing documents of the same person’s family member. “This time, he got the number against the name of the person’s father. But the photograph is the same. So we know that the caller is the same person,” the officer said. Moreover, the caller gave quite a few calls on the landline number of Kotwali and Pirbhore police stations. Police sources said they were still to trace the culprit. "
Bitcoin facts,  By  TT Bureau ,  8/05/2018 ,"Bitcoin is a peer-to-peer electronic cash system, also known as 'cryptocurrency', which basically allows people to make instant, anonymous transactions onlineBitcoin records every single transaction made on its network in a public record. This is known as the 'blockchain'Bitcoins have to be 'mined' using specialist mining software, which then carries out a series of intensive calculations to find a certain data sequence, or 'block'. The block produces a specific data pattern when the bitcoin 'hash' algorithm is applied to the data. Whoever manages to do this will basically win bitcoins, which they can then spend in a range of places online and off.Source: Wired.co.uk"
